LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,CPI,TOT,AGRWTH,Q,1991-Q1,6.439066
CAN,CPI,TOT,AGRWTH,Q,1991-Q2,6.207192
CAN,CPI,TOT,AGRWTH,Q,1991-Q3,5.807546
CAN,CPI,TOT,AGRWTH,Q,1991-Q4,4.093567
CAN,CPI,TOT,AGRWTH,Q,1992-Q1,1.583435
CAN,CPI,TOT,AGRWTH,Q,1992-Q2,1.370415
CAN,CPI,TOT,AGRWTH,Q,1992-Q3,1.201923
CAN,CPI,TOT,AGRWTH,Q,1992-Q4,1.805779
CAN,CPI,TOT,AGRWTH,Q,1993-Q1,2.118305
CAN,CPI,TOT,AGRWTH,Q,1993-Q2,1.789264
CAN,CPI,TOT,AGRWTH,Q,1993-Q3,1.741884
CAN,CPI,TOT,AGRWTH,Q,1993-Q4,1.813165
CAN,CPI,TOT,AGRWTH,Q,1994-Q1,0.5479452
CAN,CPI,TOT,AGRWTH,Q,1994-Q2,0
CAN,CPI,TOT,AGRWTH,Q,1994-Q3,0.155642
CAN,CPI,TOT,AGRWTH,Q,1994-Q4,0
CAN,CPI,TOT,AGRWTH,Q,1995-Q1,1.5181
CAN,CPI,TOT,AGRWTH,Q,1995-Q2,2.695313
CAN,CPI,TOT,AGRWTH,Q,1995-Q3,2.331002
CAN,CPI,TOT,AGRWTH,Q,1995-Q4,2.052672
CAN,CPI,TOT,AGRWTH,Q,1996-Q1,1.457055
CAN,CPI,TOT,AGRWTH,Q,1996-Q2,1.445416
CAN,CPI,TOT,AGRWTH,Q,1996-Q3,1.404708
CAN,CPI,TOT,AGRWTH,Q,1996-Q4,1.973435
CAN,CPI,TOT,AGRWTH,Q,1997-Q1,2.116402
CAN,CPI,TOT,AGRWTH,Q,1997-Q2,1.612298
CAN,CPI,TOT,AGRWTH,Q,1997-Q3,1.722201
CAN,CPI,TOT,AGRWTH,Q,1997-Q4,1.042054
CAN,CPI,TOT,AGRWTH,Q,1998-Q1,1.036269
CAN,CPI,TOT,AGRWTH,Q,1998-Q2,0.9963099
CAN,CPI,TOT,AGRWTH,Q,1998-Q3,0.8465219
CAN,CPI,TOT,AGRWTH,Q,1998-Q4,1.104972
CAN,CPI,TOT,AGRWTH,Q,1999-Q1,0.7692308
CAN,CPI,TOT,AGRWTH,Q,1999-Q2,1.6076
CAN,CPI,TOT,AGRWTH,Q,1999-Q3,2.189781
CAN,CPI,TOT,AGRWTH,Q,1999-Q4,2.367942
CAN,CPI,TOT,AGRWTH,Q,2000-Q1,2.65358
