LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,QGDP,VOLIDX,IDX,Q,1991-Q1,55
CAN,QGDP,VOLIDX,IDX,Q,1991-Q2,55.2
CAN,QGDP,VOLIDX,IDX,Q,1991-Q3,55.3
CAN,QGDP,VOLIDX,IDX,Q,1991-Q4,55.4
CAN,QGDP,VOLIDX,IDX,Q,1992-Q1,55.5
CAN,QGDP,VOLIDX,IDX,Q,1992-Q2,55.5
CAN,QGDP,VOLIDX,IDX,Q,1992-Q3,55.8
CAN,QGDP,VOLIDX,IDX,Q,1992-Q4,56.1
CAN,QGDP,VOLIDX,IDX,Q,1993-Q1,56.5
CAN,QGDP,VOLIDX,IDX,Q,1993-Q2,57
CAN,QGDP,VOLIDX,IDX,Q,1993-Q3,57.6
CAN,QGDP,VOLIDX,IDX,Q,1993-Q4,57.8
CAN,QGDP,VOLIDX,IDX,Q,1994-Q1,58.7
CAN,QGDP,VOLIDX,IDX,Q,1994-Q2,59.5
CAN,QGDP,VOLIDX,IDX,Q,1994-Q3,60.3
CAN,QGDP,VOLIDX,IDX,Q,1994-Q4,60.7
CAN,QGDP,VOLIDX,IDX,Q,1995-Q1,61.3
CAN,QGDP,VOLIDX,IDX,Q,1995-Q2,61.3
CAN,QGDP,VOLIDX,IDX,Q,1995-Q3,61.4
CAN,QGDP,VOLIDX,IDX,Q,1995-Q4,61.6
CAN,QGDP,VOLIDX,IDX,Q,1996-Q1,61.7
CAN,QGDP,VOLIDX,IDX,Q,1996-Q2,62.1
CAN,QGDP,VOLIDX,IDX,Q,1996-Q3,62.6
CAN,QGDP,VOLIDX,IDX,Q,1996-Q4,63.1
CAN,QGDP,VOLIDX,IDX,Q,1997-Q1,64
CAN,QGDP,VOLIDX,IDX,Q,1997-Q2,64.7
CAN,QGDP,VOLIDX,IDX,Q,1997-Q3,65.5
CAN,QGDP,VOLIDX,IDX,Q,1997-Q4,66.1
CAN,QGDP,VOLIDX,IDX,Q,1998-Q1,67
CAN,QGDP,VOLIDX,IDX,Q,1998-Q2,67.1
CAN,QGDP,VOLIDX,IDX,Q,1998-Q3,67.7
CAN,QGDP,VOLIDX,IDX,Q,1998-Q4,68.6
CAN,QGDP,VOLIDX,IDX,Q,1999-Q1,69.8
CAN,QGDP,VOLIDX,IDX,Q,1999-Q2,70.4
CAN,QGDP,VOLIDX,IDX,Q,1999-Q3,71.5
CAN,QGDP,VOLIDX,IDX,Q,1999-Q4,72.5
CAN,QGDP,VOLIDX,IDX,Q,2000-Q1,73.7
CAN,QGDP,VOLIDX,IDX,Q,2000-Q2,74.6
CAN,QGDP,VOLIDX,IDX,Q,2000-Q3,75.3
CAN,QGDP,VOLIDX,IDX,Q,2000-Q4,75.5
CAN,QGDP,VOLIDX,IDX,Q,2001-Q1,75.9
CAN,QGDP,VOLIDX,IDX,Q,2001-Q2,76.1
CAN,QGDP,VOLIDX,IDX,Q,2001-Q3,76
CAN,QGDP,VOLIDX,IDX,Q,2001-Q4,76.5
CAN,QGDP,VOLIDX,IDX,Q,2002-Q1,77.6
CAN,QGDP,VOLIDX,IDX,Q,2002-Q2,78.1
CAN,QGDP,VOLIDX,IDX,Q,2002-Q3,78.7
CAN,QGDP,VOLIDX,IDX,Q,2002-Q4,79.2
CAN,QGDP,VOLIDX,IDX,Q,2003-Q1,79.6
CAN,QGDP,VOLIDX,IDX,Q,2003-Q2,79.5
CAN,QGDP,VOLIDX,IDX,Q,2003-Q3,79.8
CAN,QGDP,VOLIDX,IDX,Q,2003-Q4,80.3
