LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,LTINT,TOT,PC_PA,Q,1991-Q1,9.77843
CAN,LTINT,TOT,PC_PA,Q,1991-Q2,9.662317
CAN,LTINT,TOT,PC_PA,Q,1991-Q3,9.707299
CAN,LTINT,TOT,PC_PA,Q,1991-Q4,8.651028
CAN,LTINT,TOT,PC_PA,Q,1992-Q1,8.440023
CAN,LTINT,TOT,PC_PA,Q,1992-Q2,8.538109
CAN,LTINT,TOT,PC_PA,Q,1992-Q3,7.538697
CAN,LTINT,TOT,PC_PA,Q,1992-Q4,7.789358
CAN,LTINT,TOT,PC_PA,Q,1993-Q1,7.692155
CAN,LTINT,TOT,PC_PA,Q,1993-Q2,7.503572
CAN,LTINT,TOT,PC_PA,Q,1993-Q3,7.015897
CAN,LTINT,TOT,PC_PA,Q,1993-Q4,6.765783
CAN,LTINT,TOT,PC_PA,Q,1994-Q1,6.86132
CAN,LTINT,TOT,PC_PA,Q,1994-Q2,8.491309
CAN,LTINT,TOT,PC_PA,Q,1994-Q3,9.001423
CAN,LTINT,TOT,PC_PA,Q,1994-Q4,9.092511
CAN,LTINT,TOT,PC_PA,Q,1995-Q1,8.964399
CAN,LTINT,TOT,PC_PA,Q,1995-Q2,8.111826
CAN,LTINT,TOT,PC_PA,Q,1995-Q3,8.08953
CAN,LTINT,TOT,PC_PA,Q,1995-Q4,7.481412
CAN,LTINT,TOT,PC_PA,Q,1996-Q1,7.318067
CAN,LTINT,TOT,PC_PA,Q,1996-Q2,7.759068
CAN,LTINT,TOT,PC_PA,Q,1996-Q3,7.452011
CAN,LTINT,TOT,PC_PA,Q,1996-Q4,6.390515
CAN,LTINT,TOT,PC_PA,Q,1997-Q1,6.491909
CAN,LTINT,TOT,PC_PA,Q,1997-Q2,6.543102
CAN,LTINT,TOT,PC_PA,Q,1997-Q3,5.944624
CAN,LTINT,TOT,PC_PA,Q,1997-Q4,5.592654
CAN,LTINT,TOT,PC_PA,Q,1998-Q1,5.407249
CAN,LTINT,TOT,PC_PA,Q,1998-Q2,5.339339
CAN,LTINT,TOT,PC_PA,Q,1998-Q3,5.386465
CAN,LTINT,TOT,PC_PA,Q,1998-Q4,4.983159
CAN,LTINT,TOT,PC_PA,Q,1999-Q1,5.096978
CAN,LTINT,TOT,PC_PA,Q,1999-Q2,5.323311
CAN,LTINT,TOT,PC_PA,Q,1999-Q3,5.656032
CAN,LTINT,TOT,PC_PA,Q,1999-Q4,6.088087
CAN,LTINT,TOT,PC_PA,Q,2000-Q1,6.286111
CAN,LTINT,TOT,PC_PA,Q,2000-Q2,6.011555
CAN,LTINT,TOT,PC_PA,Q,2000-Q3,5.786455
CAN,LTINT,TOT,PC_PA,Q,2000-Q4,5.617527
CAN,LTINT,TOT,PC_PA,Q,2001-Q1,5.383333
CAN,LTINT,TOT,PC_PA,Q,2001-Q2,5.72032
CAN,LTINT,TOT,PC_PA,Q,2001-Q3,5.544672
CAN,LTINT,TOT,PC_PA,Q,2001-Q4,5.272764
CAN,LTINT,TOT,PC_PA,Q,2002-Q1,5.443879
CAN,LTINT,TOT,PC_PA,Q,2002-Q2,5.559515
CAN,LTINT,TOT,PC_PA,Q,2002-Q3,5.09881
CAN,LTINT,TOT,PC_PA,Q,2002-Q4,5.061424
CAN,LTINT,TOT,PC_PA,Q,2003-Q1,4.99032
