LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,INDPROD,MFG,IDX2015,Q,1991-Q1,70.80613
CAN,INDPROD,MFG,IDX2015,Q,1991-Q2,71.51687
CAN,INDPROD,MFG,IDX2015,Q,1991-Q3,72.38555
CAN,INDPROD,MFG,IDX2015,Q,1991-Q4,71.08917
CAN,INDPROD,MFG,IDX2015,Q,1992-Q1,71.48353
CAN,INDPROD,MFG,IDX2015,Q,1992-Q2,72.32539
CAN,INDPROD,MFG,IDX2015,Q,1992-Q3,72.19553
CAN,INDPROD,MFG,IDX2015,Q,1992-Q4,73.34926
CAN,INDPROD,MFG,IDX2015,Q,1993-Q1,74.74341
CAN,INDPROD,MFG,IDX2015,Q,1993-Q2,75.61435
CAN,INDPROD,MFG,IDX2015,Q,1993-Q3,76.45521
CAN,INDPROD,MFG,IDX2015,Q,1993-Q4,77.34219
CAN,INDPROD,MFG,IDX2015,Q,1994-Q1,78.19709
CAN,INDPROD,MFG,IDX2015,Q,1994-Q2,81.01699
CAN,INDPROD,MFG,IDX2015,Q,1994-Q3,82.97447
CAN,INDPROD,MFG,IDX2015,Q,1994-Q4,85.30601
CAN,INDPROD,MFG,IDX2015,Q,1995-Q1,87.31144
CAN,INDPROD,MFG,IDX2015,Q,1995-Q2,85.76658
CAN,INDPROD,MFG,IDX2015,Q,1995-Q3,85.44131
CAN,INDPROD,MFG,IDX2015,Q,1995-Q4,85.16056
CAN,INDPROD,MFG,IDX2015,Q,1996-Q1,85.1136
CAN,INDPROD,MFG,IDX2015,Q,1996-Q2,86.43998
CAN,INDPROD,MFG,IDX2015,Q,1996-Q3,87.93584
CAN,INDPROD,MFG,IDX2015,Q,1996-Q4,87.94605
CAN,INDPROD,MFG,IDX2015,Q,1997-Q1,90.1371
CAN,INDPROD,MFG,IDX2015,Q,1997-Q2,91.672
CAN,INDPROD,MFG,IDX2015,Q,1997-Q3,93.61709
CAN,INDPROD,MFG,IDX2015,Q,1997-Q4,94.67624
CAN,INDPROD,MFG,IDX2015,Q,1998-Q1,96.03899
CAN,INDPROD,MFG,IDX2015,Q,1998-Q2,96.65587
CAN,INDPROD,MFG,IDX2015,Q,1998-Q3,96.30663
CAN,INDPROD,MFG,IDX2015,Q,1998-Q4,99.47051
CAN,INDPROD,MFG,IDX2015,Q,1999-Q1,101.7377
CAN,INDPROD,MFG,IDX2015,Q,1999-Q2,102.7623
CAN,INDPROD,MFG,IDX2015,Q,1999-Q3,105.2769
CAN,INDPROD,MFG,IDX2015,Q,1999-Q4,108.0882
CAN,INDPROD,MFG,IDX2015,Q,2000-Q1,111.0126
CAN,INDPROD,MFG,IDX2015,Q,2000-Q2,113.1966
CAN,INDPROD,MFG,IDX2015,Q,2000-Q3,115.7429
CAN,INDPROD,MFG,IDX2015,Q,2000-Q4,116.3003
CAN,INDPROD,MFG,IDX2015,Q,2001-Q1,112.2883
CAN,INDPROD,MFG,IDX2015,Q,2001-Q2,110.9432
CAN,INDPROD,MFG,IDX2015,Q,2001-Q3,108.5801
CAN,INDPROD,MFG,IDX2015,Q,2001-Q4,107.0474
CAN,INDPROD,MFG,IDX2015,Q,2002-Q1,111.1506
CAN,INDPROD,MFG,IDX2015,Q,2002-Q2,112.5826
CAN,INDPROD,MFG,IDX2015,Q,2002-Q3,112.3089
CAN,INDPROD,MFG,IDX2015,Q,2002-Q4,110.4877
CAN,INDPROD,MFG,IDX2015,Q,2003-Q1,109.7174
CAN,INDPROD,MFG,IDX2015,Q,2003-Q2,109.1637
CAN,INDPROD,MFG,IDX2015,Q,2003-Q3,109.3306
CAN,INDPROD,MFG,IDX2015,Q,2003-Q4,112.0674
CAN,INDPROD,MFG,IDX2015,Q,2004-Q1,111.1245
CAN,INDPROD,MFG,IDX2015,Q,2004-Q2,111.789
CAN,INDPROD,MFG,IDX2015,Q,2004-Q3,112.9091
CAN,INDPROD,MFG,IDX2015,Q,2004-Q4,113.0484
CAN,INDPROD,MFG,IDX2015,Q,2005-Q1,114.3372
CAN,INDPROD,MFG,IDX2015,Q,2005-Q2,113.856
CAN,INDPROD,MFG,IDX2015,Q,2005-Q3,114.149
CAN,INDPROD,MFG,IDX2015,Q,2005-Q4,114.9904
CAN,INDPROD,MFG,IDX2015,Q,2006-Q1,115.876
CAN,INDPROD,MFG,IDX2015,Q,2006-Q2,113.1686
CAN,INDPROD,MFG,IDX2015,Q,2006-Q3,110.8785
CAN,INDPROD,MFG,IDX2015,Q,2006-Q4,109.2774
CAN,INDPROD,MFG,IDX2015,Q,2007-Q1,109.7307
CAN,INDPROD,MFG,IDX2015,Q,2007-Q2,109.8247
CAN,INDPROD,MFG,IDX2015,Q,2007-Q3,108.4175
CAN,INDPROD,MFG,IDX2015,Q,2007-Q4,106.9598
CAN,INDPROD,MFG,IDX2015,Q,2008-Q1,103.8999
CAN,INDPROD,MFG,IDX2015,Q,2008-Q2,104.4856
CAN,INDPROD,MFG,IDX2015,Q,2008-Q3,103.6602
CAN,INDPROD,MFG,IDX2015,Q,2008-Q4,98.76377
CAN,INDPROD,MFG,IDX2015,Q,2009-Q1,90.3008
CAN,INDPROD,MFG,IDX2015,Q,2009-Q2,86.67491
CAN,INDPROD,MFG,IDX2015,Q,2009-Q3,87.4754
CAN,INDPROD,MFG,IDX2015,Q,2009-Q4,88.7733
CAN,INDPROD,MFG,IDX2015,Q,2010-Q1,90.96226
CAN,INDPROD,MFG,IDX2015,Q,2010-Q2,92.68163
CAN,INDPROD,MFG,IDX2015,Q,2010-Q3,93.11668
CAN,INDPROD,MFG,IDX2015,Q,2010-Q4,92.57574
CAN,INDPROD,MFG,IDX2015,Q,2011-Q1,94.18569
CAN,INDPROD,MFG,IDX2015,Q,2011-Q2,94.34604
CAN,INDPROD,MFG,IDX2015,Q,2011-Q3,95.99546
CAN,INDPROD,MFG,IDX2015,Q,2011-Q4,97.60383
CAN,INDPROD,MFG,IDX2015,Q,2012-Q1,97.42587
CAN,INDPROD,MFG,IDX2015,Q,2012-Q2,97.62973
CAN,INDPROD,MFG,IDX2015,Q,2012-Q3,96.8333
CAN,INDPROD,MFG,IDX2015,Q,2012-Q4,95.23427
CAN,INDPROD,MFG,IDX2015,Q,2013-Q1,96.07951
CAN,INDPROD,MFG,IDX2015,Q,2013-Q2,95.71319
CAN,INDPROD,MFG,IDX2015,Q,2013-Q3,96.20937
CAN,INDPROD,MFG,IDX2015,Q,2013-Q4,97.53529
CAN,INDPROD,MFG,IDX2015,Q,2014-Q1,97.48578
CAN,INDPROD,MFG,IDX2015,Q,2014-Q2,98.99882
CAN,INDPROD,MFG,IDX2015,Q,2014-Q3,100.0994
CAN,INDPROD,MFG,IDX2015,Q,2014-Q4,100.7011
CAN,INDPROD,MFG,IDX2015,Q,2015-Q1,100.1885
CAN,INDPROD,MFG,IDX2015,Q,2015-Q2,99.67949
CAN,INDPROD,MFG,IDX2015,Q,2015-Q3,100.2048
CAN,INDPROD,MFG,IDX2015,Q,2015-Q4,99.92723
CAN,INDPROD,MFG,IDX2015,Q,2016-Q1,100.206
CAN,INDPROD,MFG,IDX2015,Q,2016-Q2,99.64971
CAN,INDPROD,MFG,IDX2015,Q,2016-Q3,99.769
CAN,INDPROD,MFG,IDX2015,Q,2016-Q4,99.67755
CAN,INDPROD,MFG,IDX2015,Q,2017-Q1,100.7263
CAN,INDPROD,MFG,IDX2015,Q,2017-Q2,102.2552
CAN,INDPROD,MFG,IDX2015,Q,2017-Q3,101.6302
CAN,INDPROD,MFG,IDX2015,Q,2017-Q4,103.2962
CAN,INDPROD,MFG,IDX2015,Q,2018-Q1,104.2221
CAN,INDPROD,MFG,IDX2015,Q,2018-Q2,105.3967
CAN,INDPROD,MFG,IDX2015,Q,2018-Q3,105.4522
CAN,INDPROD,MFG,IDX2015,Q,2018-Q4,105.405
CAN,INDPROD,MFG,IDX2015,Q,2019-Q1,105.4809
CAN,INDPROD,MFG,IDX2015,Q,2019-Q2,106.1799
CAN,INDPROD,MFG,IDX2015,Q,2019-Q3,104.9023
CAN,INDPROD,MFG,IDX2015,Q,2019-Q4,104.2935
